ConsumerNodeID,ResourceNodeID,ConsumerSpeciesID,ResourceSpeciesID,ConsumerSpecies.StageID,ResourceSpecies.StageID,LinkTypeID,LinkType,LinkEvidence,LinkEvidenceNotes,LinkFrequency,LinkN,DietFraction,ConsumptionRate,VectorFrom,PreyFrom,
8,1,8,1,1,1,18,Detritivory,,,,,,,,,
9,1,9,1,1,1,18,Detritivory,,,,,,,,,
14,1,14,1,1,1,18,Detritivory,,,,,,,,,
15,1,15,1,1,1,18,Detritivory,,,,,,,,,
16,1,16,1,1,1,18,Detritivory,,,,,,,,,
20,1,20,1,1,1,18,Detritivory,,,,,,,,,
21,1,21,1,1,1,18,Detritivory,,,,,,,,,
22,1,22,1,1,1,18,Detritivory,,,,,,,,,
23,1,23,1,1,1,18,Detritivory,,,,,,,,,
24,1,24,1,1,1,18,Detritivory,,,,,,,,,
27,1,27,1,1,1,18,Detritivory,,,,,,,,,
28,1,28,1,1,1,18,Detritivory,,,,,,,,,
30,1,30,1,1,1,18,Detritivory,,,,,,,,,
31,1,31,1,1,1,18,Detritivory,,,,,,,,,
33,1,33,1,1,1,18,Detritivory,,,,,,,,,
34,1,34,1,1,1,18,Detritivory,,,,,,,,,
37,1,37,1,1,1,18,Detritivory,,,,,,,,,
38,1,38,1,1,1,18,Detritivory,,,,,,,,,
39,1,39,1,1,1,18,Detritivory,,,,,,,,,
40,1,40,1,1,1,18,Detritivory,,,,,,,,,
41,1,41,1,1,1,18,Detritivory,,,,,,,,,
42,1,42,1,1,1,18,Detritivory,,,,,,,,,
43,1,43,1,1,1,18,Detritivory,,,,,,,,,
44,1,44,1,1,1,18,Detritivory,,,,,,,,,
45,1,45,1,1,1,18,Detritivory,,,,,,,,,
47,1,47,1,1,1,18,Detritivory,,,,,,,,,
48,1,48,1,1,1,18,Detritivory,,,,,,,,,
49,1,49,1,1,1,18,Detritivory,,,,,,,,,
50,1,50,1,1,1,18,Detritivory,,,,,,,,,
51,1,51,1,1,1,18,Detritivory,,,,,,,,,
52,1,52,1,1,1,18,Detritivory,,,,,,,,,
53,1,53,1,1,1,18,Detritivory,,,,,,,,,
54,1,54,1,1,1,18,Detritivory,,,,,,,,,
55,1,55,1,1,1,18,Detritivory,,,,,,,,,
56,1,56,1,1,1,18,Detritivory,,,,,,,,,
57,1,57,1,1,1,18,Detritivory,,,,,,,,,
58,1,58,1,1,1,18,Detritivory,,,,,,,,,
60,1,60,1,1,1,18,Detritivory,,,,,,,,,
61,1,61,1,1,1,18,Detritivory,,,,,,,,,
62,1,62,1,1,1,18,Detritivory,,,,,,,,,
63,1,63,1,1,1,18,Detritivory,,,,,,,,,
64,1,64,1,1,1,18,Detritivory,,,,,,,,,
65,1,65,1,1,1,18,Detritivory,,,,,,,,,
67,1,67,1,1,1,18,Detritivory,,,,,,,,,
68,1,68,1,1,1,18,Detritivory,,,,,,,,,
69,1,69,1,1,1,18,Detritivory,,,,,,,,,
70,1,70,1,1,1,18,Detritivory,,,,,,,,,
71,1,71,1,1,1,18,Detritivory,,,,,,,,,
72,1,72,1,1,1,18,Detritivory,,,,,,,,,
73,1,73,1,1,1,18,Detritivory,,,,,,,,,
74,1,74,1,1,1,18,Detritivory,,,,,,,,,
75,1,75,1,1,1,18,Detritivory,,,,,,,,,
8,2,8,2,1,1,18,Detritivory,,,,,,,,,
29,2,29,2,1,1,18,Detritivory,,,,,,,,,
33,2,33,2,1,1,18,Detritivory,,,,,,,,,
34,2,34,2,1,1,18,Detritivory,,,,,,,,,
35,2,35,2,1,1,18,Detritivory,,,,,,,,,
36,2,36,2,1,1,18,Detritivory,,,,,,,,,
49,2,49,2,1,1,18,Detritivory,,,,,,,,,
58,2,58,2,1,1,18,Detritivory,,,,,,,,,
60,2,60,2,1,1,18,Detritivory,,,,,,,,,
65,2,65,2,1,1,18,Detritivory,,,,,,,,,
73,2,73,2,1,1,18,Detritivory,,,,,,,,,
110,2,110,2,1,1,18,Detritivory,,,,,,,,,
111,2,111,2,1,1,18,Detritivory,,,,,,,,,
112,2,112,2,1,1,18,Detritivory,,,,,,,,,
125,2,125,2,1,1,18,Detritivory,,,,,,,,,
7,3,7,3,1,1,1,Predation,,,,,,,,,
8,3,8,3,1,1,1,Predation,,,,,,,,,
15,3,15,3,1,1,1,Predation,,,,,,,,,
16,3,16,3,1,1,1,Predation,,,,,,,,,
24,3,24,3,1,1,1,Predation,,,,,,,,,
28,3,28,3,1,1,1,Predation,,,,,,,,,
31,3,31,3,1,1,1,Predation,,,,,,,,,
33,3,33,3,1,1,1,Predation,,,,,,,,,
37,3,37,3,1,1,1,Predation,,,,,,,,,
40,3,40,3,1,1,1,Predation,,,,,,,,,
47,3,47,3,1,1,1,Predation,,,,,,,,,
50,3,50,3,1,1,1,Predation,,,,,,,,,
51,3,51,3,1,1,1,Predation,,,,,,,,,
52,3,52,3,1,1,1,Predation,,,,,,,,,
53,3,53,3,1,1,1,Predation,,,,,,,,,
54,3,54,3,1,1,1,Predation,,,,,,,,,
55,3,55,3,1,1,1,Predation,,,,,,,,,
56,3,56,3,1,1,1,Predation,,,,,,,,,
57,3,57,3,1,1,1,Predation,,,,,,,,,
61,3,61,3,1,1,1,Predation,,,,,,,,,
65,3,65,3,1,1,1,Predation,,,,,,,,,
68,3,68,3,1,1,1,Predation,,,,,,,,,
72,3,72,3,1,1,1,Predation,,,,,,,,,
74,3,74,3,1,1,1,Predation,,,,,,,,,
75,3,75,3,1,1,1,Predation,,,,,,,,,
8,4,8,4,1,1,1,Predation,,,,,,,,,
